nosaukums,Numurs,stils,dizains,Jauns,Apkārtne,Mēbeles,Santehnika,Gads,Atsauksmes,Atrašanās vieta,Guļamistabas,Gultas,Cena,Numura kvadratr,Vesels mājoklis,Iekļautas brokastis,Iekļauts SPA,Terase,Sauna,Autostavveita,Wi-fi,Veļas mazgājamā masīna,Virtuve,Dārzs,Grils,Privāta vannas istaba,baseins,restorāns,apkalpošana numura,brokastis,bārs
Hotel Miķelis,23,9,9,9,10,7,9,2017,9.4,9.1,0,4,93,22,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Hotel Rojas Pērle,24,9,9,9,9,8,7,2019,8,9,0,3,70,18,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Hotel Rojas Pērle,25,9,9,9,9,8,7,2019,8,9,0,4,77,30,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Park Hotel Latgola,26,9,9,7,8,5,7,2007,8,9.5,0,2,62,17,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Park Hotel Latgola,27,9,9,7,8,5,7,2007,8,9.5,0,2,86,29,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Park Hotel Latgola,28,9,9,7,8,5,7,2007,8,9.5,0,2,143,52,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Park Hotel Latgola,29,9,9,7,8,5,7,2007,8,9.5,0,3,162,52,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Park Hotel Latgola,30,9,9,7,8,5,7,2007,8,9.5,0,2,238,111,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Jēkaba sēta,31,9,9,8,9,5,7,2014,8.8,9.6,0,2,52,17,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
Jēkaba sēta,32,9,9,8,9,5,7,2014,8.8,9.6,0,2,70,17,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
Jēkaba sēta,33,9,9,8,9,5,7,2014,8.8,9.6,0,2,57,25,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
Jēkaba sēta,34,9,9,8,9,5,7,2014,8.8,9.6,0,2,81,25,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
Jēkaba sēta,35,9,9,8,9,5,7,2014,8.8,9.6,1,4,84,60,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
Jēkaba sēta,36,9,9,8,9,5,7,2014,8.8,9.6,1,4,132,60,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
Jonathan Spa Estate,37,10,10,9,10,10,10,2013,9,9.4,0,2,229,29,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1
Jonathan Spa Estate,38,10,10,9,10,10,10,2013,9,9.4,0,2,241,30,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1
Jonathan Spa Estate,39,10,10,9,10,10,10,2013,9,9.4,0,2,259,35,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1
Jonathan Spa Estate,40,10,10,9,10,10,10,2013,9,9.4,0,4,403,55,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1
Restart,41,8,8,8,10,8,8,2016,8.9,8.7,0,2,54,23,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0
Restart,42,8,8,8,10,8,8,2016,8.9,8.7,0,2,72,23,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0
Restart,43,8,8,8,10,8,8,2016,8.9,8.7,0,2,56,29,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0
Restart,44,8,8,8,10,8,8,2016,8.9,8.7,0,2,72,29,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0
Restart,45,8,8,8,10,8,8,2016,8.9,8.7,0,2,75,40,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0
Restart,46,8,8,8,10,8,8,2016,8.9,8.7,0,2,91,40,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0
Lielupe Hotel SPA & Conferences by Semarah,47,10,10,10,10,8,9,2010,8.8,9.2,0,2,104,15,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
Lielupe Hotel SPA & Conferences by Semarah,48,10,10,10,10,8,9,2010,8.8,9.2,0,2,116,15,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1
Lielupe Hotel SPA & Conferences by Semarah,49,10,10,10,10,8,9,2010,8.8,9.2,0,2,127,25,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
Lielupe Hotel SPA & Conferences by Semarah,50,10,10,10,10,8,9,2010,8.8,9.2,0,2,141,25,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1
Lielupe Hotel SPA & Conferences by Semarah,51,10,10,10,10,8,9,2010,8.8,9.2,0,2,167,25,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1
Lielupe Hotel SPA & Conferences by Semarah,52,10,10,10,10,8,9,2010,8.8,9.2,0,2,176,36,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1
Lielupe Hotel SPA & Conferences by Semarah,53,10,10,10,10,8,9,2010,8.8,9.2,0,2,243,78,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1
Hotel Kārklu Muiža,54,7,7,7,7,7,5,2020,8.8,8.6,0,2,48,21,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
Hotel Kārklu Muiža,55,7,7,7,7,7,5,2020,8.8,8.6,0,2,60,21,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
Hotel Kārklu Muiža,56,7,7,7,7,7,5,2020,8.8,8.6,0,3,80,25,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
Hotel Kārklu Muiža,57,7,7,7,7,7,5,2020,8.8,8.6,0,3,94,25,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
Hotel Kārklu Muiža,58,7,7,7,7,7,5,2020,8.8,8.6,0,3,100,25,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
Hotel Kārklu Muiža,59,7,7,7,7,7,5,2020,8.8,8.6,0,4,100,19,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
Jaunmoku Palace Complex Hotel,60,7,7,7,10,7,7,2010,8.6,9.2,0,2,55,17,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Jaunmoku Palace Complex Hotel,61,7,7,7,10,7,7,2010,8.6,9.2,0,2,75,32,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Jaunmoku Palace Complex Hotel,62,7,7,7,10,7,7,2010,8.6,9.2,0,2,115,30,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Jaunmoku Palace Complex Hotel,63,7,7,7,10,7,7,2010,8.6,9.2,0,2,150,147,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Kapteinu Osta,64,8,8,8,8,8,8,2010,8.5,9.3,1,4,78,49,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
Kapteinu Osta,65,8,8,8,8,8,8,2010,8.5,9.3,1,3,132,49,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
Kapteinu Osta,66,8,8,8,8,8,8,2010,8.5,9.3,1,4,84,49,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
Kapteinu Osta,67,8,8,8,8,8,8,2010,8.5,9.3,1,4,120,49,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
Ķērpji,68,8,8,8,10,8,8,2013,9.1,9,1,2,52,45,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0
Ķērpji,69,8,8,8,10,8,8,2013,9.1,9,1,3,57,45,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0
Ķērpji,70,8,8,8,10,8,8,2013,9.1,9,1,3,82,75,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0
Ķērpji,71,8,8,8,10,8,8,2013,9.1,9,1,4,87,75,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0
Marbella,72,7,7,7,5,7,7,2012,8.2,9,0,2,27,18,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Marbella,73,7,7,7,5,7,7,2012,8.2,9,0,3,32,18,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Usma SPA Hotel & Camping,74,9,9,9,10,9,9,2013,8.9,9.4,2,3,75,18,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
Usma SPA Hotel & Camping,75,9,9,9,10,9,9,2013,8.9,9.4,0,2,85,20,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
Biplan Hotel,76,7,8,7,8,8,8,2014,8.6,8.7,0,2,63,19,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Biplan Hotel,77,7,8,7,8,8,8,2014,8.6,8.7,0,2,70,20,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Biplan Hotel,78,7,8,7,8,8,8,2014,8.6,8.7,0,2,73,33,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Biplan Hotel,79,7,8,7,8,8,8,2014,8.6,8.7,0,2,80,36,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Biplan Hotel,80,7,8,7,8,8,8,2014,8.6,8.7,0,3,93,36,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Biplan Hotel,81,7,8,7,8,8,8,2014,8.6,8.7,0,2,90,46,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Biplan Hotel,82,7,8,7,8,8,8,2014,8.6,8.7,0,3,103,46,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Biplan Hotel,83,7,8,7,8,8,8,2014,8.6,8.7,0,4,116,46,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Rožmalas,84,9,9,9,10,9,9,2015,9.1,9,0,2,60,18,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Rožmalas,85,9,9,9,10,9,9,2015,9.1,9,0,2,65,21,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Rožmalas,86,9,9,9,10,9,9,2015,9.1,9,0,2,75,25,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Rožmalas,87,9,9,9,10,9,9,2015,9.1,9,0,2,90,21,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Daina Jurmala Beach Hotel,88,7,7,6,9,7,8,2008,7.9,8.7,0,2,68,18,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0
Daina Jurmala Beach Hotel,89,7,7,6,9,7,8,2008,7.9,8.7,0,2,87,18,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0
Daina Jurmala Beach Hotel,90,7,7,6,9,7,8,2008,7.9,8.7,0,2,95,20,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0
Daina Jurmala Beach Hotel,91,7,7,6,9,7,8,2008,7.9,8.7,0,2,109,26,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0
Daina Jurmala Beach Hotel,92,7,7,6,9,7,8,2008,7.9,8.7,0,2,118,26,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0
Daina Jurmala Beach Hotel,93,7,7,6,9,7,8,2008,7.9,8.7,0,2,125,32,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0
Daina Jurmala Beach Hotel,94,7,7,6,9,7,8,2008,7.9,8.7,1,2,140,38,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0
Daina Jurmala Beach Hotel,95,7,7,6,9,7,8,2008,7.9,8.7,1,2,145,38,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0
Daina Jurmala Beach Hotel,96,7,7,6,9,7,8,2008,7.9,8.7,1,2,153,37,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0
Daina Jurmala Beach Hotel,97,7,7,6,9,7,8,2008,7.9,8.7,1,2,165,45,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0
Daina Jurmala Beach Hotel,98,7,7,6,9,7,8,2008,7.9,8.7,1,2,170,44,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0
Biplan City,99,7,8,7,8,8,8,2016,8.8,9.3,0,2,68,15,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Biplan City,100,7,8,7,8,8,8,2016,8.8,9.3,0,2,70,20,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Biplan City,101,7,8,7,8,8,8,2016,8.8,9.3,0,2,73,33,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Biplan City,102,7,8,7,8,8,8,2016,8.8,9.3,0,2,80,36,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Biplan City,103,7,8,7,8,8,8,2016,8.8,9.3,0,3,90,36,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Biplan City,104,7,8,7,8,8,8,2016,8.8,9.3,0,2,87,35,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Biplan City,105,7,8,7,8,8,8,2016,8.8,9.3,0,3,93,36,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Biplan City,106,7,8,7,8,8,8,2016,8.8,9.3,0,3,100,35,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Biplan City,107,7,8,7,8,8,8,2016,8.8,9.3,0,4,113,35,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Hotel Jurmala Spa,108,9,9,9,9,9,9,2007,8.6,9.4,0,2,80,20,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Hotel Jurmala Spa,109,9,9,9,9,9,9,2007,8.6,9.4,0,2,98,23,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Hotel Jurmala Spa,110,9,9,9,9,9,9,2007,8.6,9.4,0,2,116,29,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Hotel Jurmala Spa,111,9,9,9,9,9,9,2007,8.6,9.4,0,3,151,29,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Odzienas Krogusmāja,112,8,9,8,9,8,7,2013,9.3,9.3,0,2,50,15,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
Odzienas Krogusmāja,113,8,9,8,9,8,7,2013,9.3,9.3,0,2,50,18,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
Odzienas Krogusmāja,114,8,9,8,9,8,7,2013,9.3,9.3,0,4,80,40,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
Baltvilla,115,10,10,7,10,10,10,2007,9,9.2,0,2,123,22,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Baltvilla,116,10,10,7,10,10,10,2007,9,9.2,0,2,98,25,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Baltvilla,117,10,10,7,10,10,10,2007,9,9.2,0,2,100,22,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Baltvilla,118,10,10,7,10,10,10,2007,9,9.2,0,2,119,44,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Baltvilla,119,10,10,7,10,10,10,2007,9,9.2,2,2,204,110,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Baltvilla,120,10,10,7,10,10,10,2007,9,9.2,0,3,119,24,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Baltic Beach Hotel & SPA,121,10,10,7,10,10,10,2012,8.7,9.6,0,2,145,15,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Baltic Beach Hotel & SPA,122,10,10,7,10,10,10,2012,8.7,9.6,0,2,215,21,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Baltic Beach Hotel & SPA,123,10,10,7,10,10,10,2012,8.7,9.6,0,2,240,33,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Baltic Beach Hotel & SPA,124,10,10,7,10,10,10,2012,8.7,9.6,0,2,260,44,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Baltic Beach Hotel & SPA,125,10,10,7,10,10,10,2012,8.7,9.6,0,2,330,39,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Baltic Beach Hotel & SPA,126,10,10,7,10,10,10,2012,8.7,9.6,0,4,450,70,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Baltic Beach Hotel & SPA,127,10,10,7,10,10,10,2012,8.7,9.6,3,6,715,156,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Demians,128,7,7,7,7,7,7,2010,8.2,9.4,0,2,65,18,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
Amrita Hotel,129,9,9,9,8,9,9,2009,8.9,9.2,0,2,49,15,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Amrita Hotel,130,9,9,9,8,9,9,2009,8.9,9.2,0,2,69,15,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Amrita Hotel,131,9,9,9,8,9,9,2009,8.9,9.2,0,2,66,15,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Amrita Hotel,132,9,9,9,8,9,9,2009,8.9,9.2,0,2,83,15,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Amrita Hotel,133,9,9,9,8,9,9,2009,8.9,9.2,0,2,118,34,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Amrita Hotel,134,9,9,9,8,9,9,2009,8.9,9.2,0,2,132,34,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Amrita Hotel,135,9,9,9,8,9,9,2009,8.9,9.2,0,2,138,45,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Amrita Hotel,136,9,9,9,8,9,9,2009,8.9,9.2,0,2,150,45,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Amrita Hotel,137,9,9,9,8,9,9,2009,8.9,9.2,1,2,164,52,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Amrita Hotel,138,9,9,9,8,9,9,2009,8.9,9.2,1,2,175,52,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Private Farm Jakuzzi Sauna in the forest,139,7,7,7,7,7,7,2010,9,8.9,0,4,75,80,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Private Farm Jakuzzi Sauna in the forest,140,7,7,7,7,7,7,2010,9,8.9,0,4,87,80,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Private Farm Jakuzzi Sauna in the forest,141,7,7,7,7,7,7,2010,9,8.9,0,5,90,80,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Reinis,142,10,10,8,10,10,10,2009,8.9,9.3,0,2,55,18,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Karlamuiza Country Hotel,143,9,9,9,9,9,9,2010,9.1,9.4,0,2,71,19,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Karlamuiza Country Hotel,144,9,9,9,9,9,9,2010,9.1,9.4,0,2,119,19,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Karlamuiza Country Hotel,145,9,9,9,9,9,9,2010,9.1,9.4,0,2,78,26,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Karlamuiza Country Hotel,146,9,9,9,9,9,9,2010,9.1,9.4,0,2,125,26,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Karlamuiza Country Hotel,147,9,9,9,9,9,9,2010,9.1,9.4,0,2,82,35,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Karlamuiza Country Hotel,148,9,9,9,9,9,9,2010,9.1,9.4,0,2,131,35,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Karlamuiza Country Hotel,149,9,9,9,9,9,9,2010,9.1,9.4,0,2,88,35,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Karlamuiza Country Hotel,150,9,9,9,9,9,9,2010,9.1,9.4,0,2,137,35,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Karlamuiza Country Hotel,151,9,9,9,9,9,9,2010,9.1,9.4,0,2,125,40,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Karlamuiza Country Hotel,152,9,9,9,9,9,9,2010,9.1,9.4,0,2,178,40,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Karlamuiza Country Hotel,153,9,9,9,9,9,9,2010,9.1,9.4,0,3,92,35,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Karlamuiza Country Hotel,154,9,9,9,9,9,9,2010,9.1,9.4,1,3,132,45,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Karlamuiza Country Hotel,155,9,9,9,9,9,9,2010,9.1,9.4,0,4,119,48,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Karlamuiza Country Hotel,156,9,9,9,9,9,9,2010,9.1,9.4,0,4,141,40,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Monika Centrum Hotels,157,8,8,5,8,8,8,2010,8.6,9.2,0,2,82,20,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Kalna Ligzda,158,5,5,5,5,5,5,2012,8.9,9.4,0,2,52,15,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
Kalna Ligzda,159,5,5,5,5,5,5,2012,8.9,9.4,0,3,63,25,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
Kalna Ligzda,160,5,5,5,5,5,5,2012,8.9,9.4,0,4,86,31,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
VILARHOTEL,161,8,8,8,8,8,8,2021,8.1,8.3,0,2,112,16,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
VILARHOTEL,162,8,8,8,8,8,8,2021,8.1,8.3,2,4,208,50,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
VILARHOTEL,163,8,8,8,8,8,8,2021,8.1,8.3,0,5,195,30,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
Art Hotel Roma,164,10,10,10,10,10,10,2019,9.4,9.7,0,2,71,22,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Art Hotel Roma,165,10,10,10,10,10,10,2019,9.4,9.7,0,2,98,22,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Art Hotel Roma,166,10,10,10,10,10,10,2019,9.4,9.7,0,2,85,28,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Art Hotel Roma,167,10,10,10,10,10,10,2019,9.4,9.7,0,2,111,45,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Art Hotel Roma,168,10,10,10,10,10,10,2019,9.4,9.7,0,2,136,35,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Art Hotel Roma,169,10,10,10,10,10,10,2019,9.4,9.7,0,2,153,53,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Art Hotel Roma,170,10,10,10,10,10,10,2019,9.4,9.7,0,2,170,38,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Divas Upes,171,9,9,9,9,6,6,2011,9.6,9.6,0,2,59,15,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Divas Upes,172,9,9,9,9,6,6,2011,9.6,9.6,0,2,86,25,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
Divas Upes,173,9,9,9,9,6,6,2011,9.6,9.6,0,3,68,20,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
