Gads,Atsauksmes,Atrašanās vieta,Guļamistabas,Gultas,Cena,Numura kvadratr,Vesels mājoklis,Terase,Sauna,Autostavveita,Wi-fi,Veļas mazgājamā masīna,Virtuve,Dārzs,Grils,Privāta vannas istaba,,baseins,restorāns,apkalpošana numura,brokastis,bārs
2009,9,9.6,0,2,86,27,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2009,8.8,9,0,2,43,15,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1
2020,9,8.9,0,2,119,28,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2019,8.7,8.5,0,2,40,16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2022,9.5,9.5,1,2,83,39,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0
2015,9,8.6,0,3,40,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2009,8.9,9.4,0,2,60,18,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2009,6.4,8,0,2,40,23,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
2017,8.8,9.5,1,3,110,50,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2016,8.2,9.3,0,2,46,16,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
2019,8.6,9.3,1,2,39,17,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0
2017,8.4,9.7,0,2,34,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2010,8.6,8.9,0,2,48,30,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2010,8.5,9.3,0,2,86,18,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1
2007,8.5,9.2,0,2,78,16,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1
2011,7.5,8.8,0,2,55,25,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2013,8.1,8.7,0,2,40,22,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2016,8.9,8.8,0,2,61,18,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1
2019,9.5,9.2,1,2,53,33,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
2013,6.7,8.9,0,2,50,20,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1
2009,8.8,9.5,0,2,105,20,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2012,7.9,8.6,0,2,69,20,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2022,9.8,9.9,1,2,98,24,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0
2010,8.1,9,0,2,77,16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2010,7.1,8.7,0,2,35,15,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
2017,9.2,9.2,0,2,149,27,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2010,8.8,9.4,0,2,78,26,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2022,9.3,9.3,0,2,43,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2020,9,9.5,0,2,50,16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2015,9.1,9.3,0,2,113,61,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
2021,9.8,9.8,1,3,110,100,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
2021,9.6,9.1,1,2,75,65,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0
2014,8.2,8.7,0,2,55,29,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2014,9.2,9,0,2,15,16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2012,8.4,9.2,0,2,39,18,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2014,8.1,8.3,0,2,58,17,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
2012,7.9,8.3,0,2,27,20,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2005,8.4,9.6,0,2,68,20,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
2022,9,8.5,0,2,45,24,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2012,9.1,9.6,0,2,50,17,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2013,8.8,9.4,0,2,48,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020,9.2,9.6,0,2,70,23,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2015,9,9.1,0,2,55,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2014,9.2,9.1,0,2,35,16,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
2014,8.4,9.1,0,2,95,20,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2011,8.2,9.1,0,2,57,15,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2010,8.4,8.3,0,2,95,25,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1
2010,7.8,9.1,0,2,46,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2016,9.5,8.6,2,7,50,60,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
2022,9.6,9.5,1,2,65,50,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
2017,9.1,9.1,0,2,40,40,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2013,7.8,9.5,0,2,35,16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2015,9.5,9.8,1,5,34,65,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
