Numurs,Gads,Atsauksmes,Atrašanās vieta,Guļamistabas,Gultas,Cena,Numura kvadratr,Vesels mājoklis,Iekļautas brokastis,Iekļauts SPA,Terase,Sauna,Autostavveita,Wi-fi,Veļas mazgājamā masīna,Virtuve,Dārzs,Grils,Privāta vannas istaba,,baseins,restorāns,apkalpošana numura,brokastis,bārs
106,2016,8.8,9.3,0,3,100,35,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
107,2016,8.8,9.3,0,4,113,35,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
108,2007,8.6,9.4,0,2,80,20,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
109,2007,8.6,9.4,0,2,98,23,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
110,2007,8.6,9.4,0,2,116,29,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
111,2007,8.6,9.4,0,3,151,29,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
112,2013,9.3,9.3,0,2,50,15,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
113,2013,9.3,9.3,0,2,50,18,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
114,2013,9.3,9.3,0,4,80,40,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
115,2007,9,9.2,0,2,123,22,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
116,2007,9,9.2,0,2,98,25,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
117,2007,9,9.2,0,2,100,22,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
118,2007,9,9.2,0,2,119,44,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
119,2007,9,9.2,2,2,204,110,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
120,2007,9,9.2,0,3,119,24,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
121,2012,8.7,9.6,0,2,145,15,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
122,2012,8.7,9.6,0,2,215,21,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
123,2012,8.7,9.6,0,2,240,33,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
124,2012,8.7,9.6,0,2,260,44,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
125,2012,8.7,9.6,0,2,330,39,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
126,2012,8.7,9.6,0,4,450,70,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
127,2012,8.7,9.6,3,6,715,156,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
128,2010,8.2,9.4,0,2,65,18,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
129,2009,8.9,9.2,0,2,49,15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
130,2009,8.9,9.2,0,2,69,15,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
131,2009,8.9,9.2,0,2,66,15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
132,2009,8.9,9.2,0,2,83,15,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
133,2009,8.9,9.2,0,2,118,34,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
134,2009,8.9,9.2,0,2,132,34,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
