Nosaukums,Gads,Atsauksmes,Atrašanās vieta,Guļamistabas,Gultas,Cena,Numura kvadratr,Vesels mājoklis,Iekļautas brokastis,Iekļauts SPA,Terase,Sauna,Autostavveita,Wi-fi,Veļas mazgājamā masīna,Virtuve,Dārzs,Grils,Privāta vannas istaba,,baseins,restorāns,apkalpošana numura,brokastis,bārs
Silversmith's Residence in Old Riga,2022,9.5,9.7,1,6,172,85,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
Silversmith's Residence in Old Riga,2022,9.5,9.7,1,1,106,85,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
Pie Jūras,2023,9.6,10,2,4,54,107,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0
Silmači,2014,8.7,9.5,0,2,40,16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Guest house Laimes taure,2022,9.3,9.3,1,2,180,35,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0
Guest house Laimes taure,2022,9.3,9.3,1,3,198,35,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0
Rakši,2008,9,9.3,1,4,200,100,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Rakši,2008,9,9.3,3,6,300,100,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Stamerienas Apartamenti,2017,9.2,9.5,0,2,55,43,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1
Hotel Ergli,2010,8.1,8.9,0,2,70,18,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1
Hotel Ergli,2010,8.1,8.9,0,2,75,18,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1
Hotel Ergli,2010,8.1,8.9,0,3,95,25,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1
Nameja Best view apartamenti,2022,9.2,9.1,1,2,43,53,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Nameja Best view apartamenti,2022,9.2,9.1,1,3,48,53,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Nameja Best view apartamenti,2022,9.2,9.1,1,1,41,53,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Trommeļa brīvdienu mājiņas-kempings,2019,9.4,9.6,0,2,40,20,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Salnēni,2022,9.9,9.7,1,2,85,24,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0
Salnēni,2022,9.9,9.7,1,3,100,24,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0
Villa Lettonia,2022,9.9,10,0,2,138,18,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
Villa Lettonia,2022,9.9,10,0,2,143,18,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
Villa Lettonia,2022,9.9,10,0,2,154,18,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
Villa Lettonia,2022,9.9,10,0,2,193,25,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
Guest House Garoza,2021,9.1,9.4,0,2,75,16,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Guest House Garoza,2021,9.1,9.4,0,2,95,16,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Guest House Garoza,2021,9.1,9.4,1,3,150,40,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Guest House Garoza,2021,9.1,9.4,2,4,145,35,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Usmas zaķīšu pirtiņa - Bunny house,2021,8.8,9.3,0,2,45,15,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
